ID;Playlist;Wort;
1;Songs22;"""Freunde""";
2;Songs22;"        ""Jahren""";
3;Songs22;"        ""Kneipe""";
4;Songs22;"        ""Ecke""";
5;Songs22;"        ""Bar""";
6;Songs22;"        ""Neunzigern""";
7;Songs22;"        ""Abend""";
8;Songs22;"        ""Liebe""";
9;Songs22;"        ""Freundschaft""";
10;Songs22;"        ""Refrain""";
11;Songs22;"        ""Gl\u00e4ser""";
12;Songs22;"        ""Stadt""";
13;Songs22;"        ""Leben""";
14;Songs22;"        ""Wand""";
15;Songs22;"        ""Momente""";
16;Songs22;"        ""Dorf""";
17;Songs22;"        ""Tresen""";
18;Songs22;"        ""Spa\u00df""";
19;Songs22;"        ""Leben""";
20;Songs22;"        ""Refrain""";
21;Songs22;"        ""Kneipe""";
22;Songs22;"        ""Ecke""";
23;Songs22;"        ""Licht""";
24;Songs22;"        ""Schnaps""";
25;Songs22;"        ""Kippen""";
26;Songs22;"        ""Kneipe""";
27;Songs22;"        ""Ecke""";
28;Songs22;"        ""Licht""";
29;Songs22;"        ""Licht""";
30;Songs22;"        ""Refrain""";
31;Songs22;"        ""Uhr""";
32;Songs22;"        ""LebenEmbed""";
33;Songs22;"        ""ContributorsEinmal""";
34;Songs22;"        ""Welt""";
35;Songs22;"        ""Songtext""";
36;Songs22;"        ""Welt""";
37;Songs22;"        ""Intro""";
38;Songs22;"        ""One""";
39;Songs22;"        ""One""";
40;Songs22;"        ""Baby""";
41;Songs22;"        ""Sorgen""";
42;Songs22;"        ""Geld""";
43;Songs22;"        ""Hand""";
44;Songs22;"        ""Welt""";
45;Songs22;"        ""Welt""";
46;Songs22;"        ""Part""";
47;Songs22;"        ""Ost""";
48;Songs22;"        ""Jackpot""";
49;Songs22;"        ""Bord""";
50;Songs22;"        ""Tag""";
51;Songs22;"        ""Laufe""";
52;Songs22;"        ""Park""";
53;Songs22;"        ""Geld""";
54;Songs22;"        ""Brot""";
55;Songs22;"        ""Kaviar""";
56;Songs22;"        ""Champagner""";
57;Songs22;"        ""Schampus""";
58;Songs22;"        ""Baby""";
59;Songs22;"        ""erf\u00fcll""";
60;Songs22;"        ""Wunsch""";
61;Songs22;"        ""Handkuss""";
62;Songs22;"        ""Fr\u00fchst\u00fcck""";
63;Songs22;"        ""Joggen""";
64;Songs22;"        ""Ganze""";
65;Songs22;"        ""L.A""";
66;Songs22;"        ""Zahnb\u00fcrste""";
67;Songs22;"        ""Ort""";
68;Songs22;"        ""Babe""";
69;Songs22;"        ""Hand""";
70;Songs22;"        ""Safe""";
71;Songs22;"        ""Wand""";
72;Songs22;"        ""Leben""";
73;Songs22;"        ""Baby""";
74;Songs22;"        ""Sorgen""";
75;Songs22;"        ""Geld""";
76;Songs22;"        ""Hand""";
77;Songs22;"        ""Welt""";
78;Songs22;"        ""Welt""";
79;Songs22;"        ""Kreditkarten""";
80;Songs22;"        ""Mietwagen""";
81;Songs22;"        ""Designerschuhe""";
82;Songs22;"        ""Lacoste""";
83;Songs22;"        ""Problem""";
84;Songs22;"        ""Schuhe""";
85;Songs22;"        ""Schloss""";
86;Songs22;"        ""Geld""";
87;Songs22;"        ""Pelz""";
88;Songs22;"        ""Welt""";
89;Songs22;"        ""Baby""";
90;Songs22;"        ""Sorgen""";
91;Songs22;"        ""Geld""";
92;Songs22;"        ""Hand""";
93;Songs22;"        ""Welt""";
94;Songs22;"        ""Welt""";
95;Songs22;"        ""Baby""";
96;Songs22;"        ""Sorgen""";
97;Songs22;"        ""Geld""";
98;Songs22;"        ""Hand""";
99;Songs22;"        ""Welt""";
100;Songs22;"        ""Welt""";
101;Songs22;"        ""Outro""";
102;Songs22;"        ""Ja""";
103;Songs22;"        ""Okay""";
104;Songs22;"        ""Baby""";
105;Songs22;"        ""Bescheid""";
106;Songs22;"        ""Ding""";
107;Songs22;"        ""Welt""";
108;Songs22;"        ""Uh-huh""";
109;Songs22;"        ""ContributorsBilder""";
110;Songs22;"        ""Kopf""";
111;Songs22;"        ""Fotoalbum""";
112;Songs22;"        ""Knopf""";
113;Songs22;"        ""Bewahr""";
114;Songs22;"        ""Bilder""";
115;Songs22;"        ""Kopf""";
116;Songs22;"        ""Block""";
117;Songs22;"        ""Bilder""";
118;Songs22;"        ""Kopf""";
119;Songs22;"        ""Fotoalbum""";
120;Songs22;"        ""Knopf""";
121;Songs22;"        ""Bewahr""";
122;Songs22;"        ""Bilder""";
123;Songs22;"        ""Kopf""";
124;Songs22;"        ""Mal""";
125;Songs22;"        ""hab'n""";
126;Songs22;"        ""Loft""";
127;Songs22;"        ""Bilder""";
128;Songs22;"        ""Kopf""";
129;Songs22;"        ""Part""";
130;Songs22;"        ""Zeit""";
131;Songs22;"        ""Jahren""";
132;Songs22;"        ""Mama""";
133;Songs22;"        ""Haare""";
134;Songs22;"        ""Sack""";
135;Songs22;"        ""Osten""";
136;Songs22;"        ""Licht""";
137;Songs22;"        ""H\u00e4user""";
138;Songs22;"        ""Aufbruch""";
139;Songs22;"        ""Neuland""";
140;Songs22;"        ""Entscheidung""";
141;Songs22;"        ""Gutes""";
142;Songs22;"        ""Fu\u00df""";
143;Songs22;"        ""Vater""";
144;Songs22;"        ""Gesichtern""";
145;Songs22;"        ""Nachts""";
146;Songs22;"        ""Augen""";
147;Songs22;"        ""Stra\u00dfenlichter""";
148;Songs22;"        ""hab's""";
149;Songs22;"        ""Paraphiert""";
150;Songs22;"        ""Erinnerung""";
151;Songs22;"        ""Fotoalbum""";
152;Songs22;"        ""Knopf""";
153;Songs22;"        ""Bewahr""";
154;Songs22;"        ""Bilder""";
155;Songs22;"        ""Kopf""";
156;Songs22;"        ""Block""";
157;Songs22;"        ""Bilder""";
158;Songs22;"        ""Kopf""";
159;Songs22;"        ""Fotoalbum""";
160;Songs22;"        ""Knopf""";
161;Songs22;"        ""Bewahr""";
162;Songs22;"        ""Bilder""";
163;Songs22;"        ""Kopf""";
164;Songs22;"        ""Mal""";
