,Noun,Year,Artist,Popularity
0,Sack,2022,Die Toten Hosen,45
1,Sack,2022,Die Toten Hosen,45
2,Sack,2022,Die Toten Hosen,45
3,Sack,2022,Die Toten Hosen,45
4,Chaot,2022,Die Toten Hosen,33
5,Chaot,2022,Die Toten Hosen,33
6,Chaot,2022,Die Toten Hosen,33
7,Chaot,2022,Die Toten Hosen,33
8,Schwein,2021,Udo Lindenberg,33
9,Weib,2021,Udo Lindenberg,25
10,Weib,2021,Udo Lindenberg,25
11,Schwein,2021,Udo Lindenberg,22
12,Idiot,2021,Udo Lindenberg,24
13,Spießer,2021,Udo Lindenberg,25
14,Macker,2023,Apache 207,73
15,Bitch,2023,Apache 207,70
16,Idiot,2023,Peter Fox,65
17,Sau,2023,Peter Fox,71
18,Sack,2008,Peter Fox,72
19,Macker,2008,Peter Fox,63
20,Sack,2008,Peter Fox,53
21,Macker,2008,Peter Fox,67
22,Hurensohn,2022,Bonez MC,46
23,Wichser,2022,Bonez MC,46
24,Wichser,2022,Bonez MC,46
25,Nutte,2022,Bonez MC,46
26,Schlampe,2022,Bonez MC,62
27,Schlampe,2022,Bonez MC,62
28,Schlampe,2022,Bonez MC,62
29,Bonze,2022,Bonez MC,68
30,Bitch,2022,Bonez MC,67
31,Schwanzlutscher,2022,Bonez MC,58
32,Bastard,2022,Bonez MC,56
33,Trottel,2022,Bonez MC,55
34,Trottel,2022,Bonez MC,55
35,Schlampe,2022,Bonez MC,55
36,Trottel,2022,Bonez MC,55
37,Trottel,2022,Bonez MC,55
38,Schlampe,2022,LX,32
39,Bitch,2022,RAF Camora,33
40,Hurensohn,2022,RAF Camora,34
41,Hurenkind,2022,RAF Camora,32
42,Bitch,2022,RAF Camora,32
43,Schwein,2022,SDP,45
44,Fotze,2022,SDP,45
45,Fotze,2022,SDP,45
46,Schwein,2022,SDP,42
47,Schwein,2022,SDP,42
48,Bastard,2022,SDP,45
49,Bastard,2022,SDP,45
50,Bastard,2022,SDP,45
51,Bastard,2022,SDP,45
52,Trottel,2019,SDP,54
53,Trottel,2019,SDP,54
54,Fotze,2019,SDP,39
55,Wichser,2019,SDP,39
56,Wichser,2019,SDP,39
57,Wichser,2019,SDP,39
58,Wichser,2019,SDP,39
59,Wichser,2019,SDP,39
60,Wichser,2019,SDP,39
61,Ungeheuer,2019,SDP,21
62,Hurensohn,2022,Nina Chuba,68
63,Arschloch,2022,LUNA,56
64,Arschloch,2022,LUNA,56
65,Arschloch,2022,LUNA,56
66,Arschloch,2022,LUNA,56
67,Arschloch,2022,LUNA,56
68,Arschloch,2022,LUNA,56
69,Arschloch,2022,LUNA,56
70,Arschloch,2022,LUNA,56
71,Arschloch,2022,LUNA,56
72,Arschloch,2022,LUNA,56
73,Arschloch,2022,LUNA,56
74,Affenarsch,2022,Ben Zucker,51
75,Sack,2022,Ben Zucker,51
76,Sau,2022,Ben Zucker,51
77,Schwein,2022,Ben Zucker,51
78,Bastard,2022,Ben Zucker,51
79,Wichser,2022,Ben Zucker,51
80,Wichser,2022,Ben Zucker,51
81,Schlampe,2022,Ben Zucker,51
82,Schlampe,2022,Ben Zucker,51
83,Wichser,2022,Ben Zucker,51
84,Wichser,2022,Ben Zucker,51
85,Wichser,2022,Ben Zucker,51
86,Wichser,2022,Ben Zucker,51
87,Trottel,2022,Ben Zucker,51
88,Trottel,2022,Ben Zucker,51
89,Hurensohn,2022,Ben Zucker,51
90,Wichser,2022,Ben Zucker,51
91,Wichser,2022,Ben Zucker,51
92,Schlampe,2022,Ben Zucker,51
93,Wichser,2022,Ben Zucker,51
94,Wichser,2022,Ben Zucker,51
