,Noun,Year,Artist,Popularity
0,Nachbarschaft,2022,Die Toten Hosen,56
1,Kind,2022,Die Toten Hosen,56
2,Kind,2022,Die Toten Hosen,56
3,Kind,2022,Die Toten Hosen,56
4,Sonnenschein,2022,Die Toten Hosen,45
5,Sonnenschein,2022,Die Toten Hosen,45
6,Menschen,2022,Die Toten Hosen,45
7,Mensch,2022,Die Toten Hosen,38
8,Menschen,2022,Die Toten Hosen,38
9,Natur,2022,Die Toten Hosen,36
10,Natur,2022,Die Toten Hosen,36
11,Natur,2022,Die Toten Hosen,36
12,Natur,2022,Die Toten Hosen,36
13,Natur,2022,Die Toten Hosen,36
14,Natur,2022,Die Toten Hosen,36
15,Natur,2022,Die Toten Hosen,36
16,Natur,2022,Die Toten Hosen,36
17,Natur,2022,Die Toten Hosen,36
18,Natur,2022,Die Toten Hosen,36
19,Natur,2022,Die Toten Hosen,36
20,Natur,2022,Die Toten Hosen,36
21,Mensch,2022,Die Toten Hosen,37
22,Jugendliche,2022,Die Toten Hosen,37
23,Besuch,2022,Die Toten Hosen,36
24,Stimme,2022,Die Toten Hosen,36
25,Stimme,2022,Die Toten Hosen,36
26,Stelle,2022,Die Toten Hosen,36
27,Vater,2022,Die Toten Hosen,34
28,Querkopf,2022,Die Toten Hosen,33
29,Kreis,2022,Die Toten Hosen,35
30,Eltern,2022,Die Toten Hosen,33
31,Mensch,2022,Die Toten Hosen,32
32,Mensch,2022,Die Toten Hosen,32
33,Mensch,2022,Die Toten Hosen,32
34,Mensch,2022,Die Toten Hosen,32
35,Zimmer,2022,Die Toten Hosen,33
36,Eltern,2022,Die Toten Hosen,33
37,Vater,2021,Udo Lindenberg,39
38,Mitglied,2021,Udo Lindenberg,33
39,Umgebung,2021,Udo Lindenberg,29
40,Pause,2021,Udo Lindenberg,28
41,Management,2021,Udo Lindenberg,28
42,Liebling,2021,Udo Lindenberg,27
43,Verein,2021,Udo Lindenberg,26
44,Stimme,2021,Udo Lindenberg,24
45,Stimme,2021,Udo Lindenberg,24
46,Kinder,2021,Udo Lindenberg,23
47,Verein,2021,Udo Lindenberg,22
48,Stelle,2021,Udo Lindenberg,24
49,Kinder,2021,Udo Lindenberg,0
50,Kinder,2021,Udo Lindenberg,0
51,Kinder,2021,Udo Lindenberg,0
52,Menschen,2021,Udo Lindenberg,0
53,Kind,2021,Udo Lindenberg,0
54,Kind,2021,Udo Lindenberg,0
55,Kind,2021,Udo Lindenberg,0
56,Kind,2021,Udo Lindenberg,0
57,Kind,2021,Udo Lindenberg,0
58,Kind,2021,Udo Lindenberg,0
59,Bekanntschaft,2021,Udo Lindenberg,23
60,Bekanntschaft,2021,Udo Lindenberg,23
61,Bekanntschaft,2021,Udo Lindenberg,23
62,Bekanntschaft,2021,Udo Lindenberg,23
63,Bekanntschaft,2021,Udo Lindenberg,23
64,Bekanntschaft,2021,Udo Lindenberg,23
65,Bekanntschaft,2021,Udo Lindenberg,23
66,Bekanntschaft,2021,Udo Lindenberg,23
67,Bekanntschaft,2021,Udo Lindenberg,23
68,Bekanntschaft,2021,Udo Lindenberg,23
69,Irrtum,2021,Udo Lindenberg,22
70,Konzert,2021,Udo Lindenberg,58
71,Kind,2021,Udo Lindenberg,24
72,Kind,2021,Udo Lindenberg,24
73,Kind,2021,Udo Lindenberg,24
74,Team,2021,Udo Lindenberg,22
75,Stimme,2021,Udo Lindenberg,58
76,Stimme,2021,Udo Lindenberg,58
77,Letzten,2021,Udo Lindenberg,29
78,Zimmer,2021,Udo Lindenberg,50
79,Stimme,2016,Udo Lindenberg,36
80,Stimme,2016,Udo Lindenberg,36
81,Regie,2016,Udo Lindenberg,40
82,Regie,2016,Udo Lindenberg,40
83,Kind,2016,Udo Lindenberg,34
84,Kind,2016,Udo Lindenberg,34
85,Kind,2016,Udo Lindenberg,34
86,Kind,2016,Udo Lindenberg,34
87,Kind,2016,Udo Lindenberg,34
88,Kind,2016,Udo Lindenberg,34
89,Kind,2016,Udo Lindenberg,34
90,Kind,2016,Udo Lindenberg,34
91,Kind,2016,Udo Lindenberg,34
92,Polizei,1986,Udo Lindenberg,9
93,Polizei,1986,Udo Lindenberg,9
94,Mensch,1986,Udo Lindenberg,9
95,Menschen,1986,Udo Lindenberg,9
96,Zimmer,1986,Udo Lindenberg,9
97,Zimmer,1986,Udo Lindenberg,9
98,Eltern,2023,Apache 207,75
99,Ampel,2023,Apache 207,75
100,Konto,2023,Apache 207,74
101,Konto,2023,Apache 207,74
102,Konto,2023,Apache 207,74
103,Ampel,2023,Apache 207,73
104,Vater,2023,Apache 207,70
105,Vater,2023,Apache 207,70
106,Vater,2023,Apache 207,70
107,Polizei,2023,Apache 207,72
108,Zimmer,2023,Apache 207,66
109,Kinder,2023,Apache 207,66
110,Konto,2023,Apache 207,66
111,Konto,2023,Apache 207,66
112,Konto,2023,Apache 207,66
113,Zimmer,2023,Apache 207,66
114,Ampel,2019,Apache 207,71
115,Ampel,2019,Apache 207,67
116,Ampel,2019,Apache 207,66
117,Menschen,2022,AYLIVA,63
118,Kind,2022,AYLIVA,63
119,Kind,2022,AYLIVA,63
120,Kind,2022,AYLIVA,63
121,Menschen,2022,AYLIVA,63
122,Kind,2022,AYLIVA,57
123,Kind,2022,AYLIVA,57
124,Kind,2022,AYLIVA,57
125,Cockpit,2023,Peter Fox,71
126,Cockpit,2023,Peter Fox,71
127,Cockpit,2023,Peter Fox,71
128,Cockpit,2023,Peter Fox,71
129,Team,2023,Peter Fox,74
130,Zimmer,2023,Peter Fox,74
131,Tier,2023,Peter Fox,65
132,Tier,2023,Peter Fox,66
133,Kreis,2023,Peter Fox,65
134,Kind,2023,Peter Fox,71
135,Kind,2023,Peter Fox,71
136,Kind,2023,Peter Fox,71
137,Kind,2023,Peter Fox,71
138,Kind,2023,Peter Fox,71
139,Kind,2023,Peter Fox,71
140,Kind,2023,Peter Fox,71
141,Kind,2023,Peter Fox,71
142,Kind,2023,Peter Fox,71
