,Noun,Männlich,Year,Artist,Popularity
0,Mädchen,False,2022,Die Toten Hosen,39
1,Mann,True,2022,Die Toten Hosen,38
2,Herr,True,2022,Die Toten Hosen,32
3,Ehemann,True,2022,Die Toten Hosen,32
4,Mann,True,2022,Die Toten Hosen,30
5,Mann,True,2022,Die Toten Hosen,33
6,Mädchen,False,2021,Udo Lindenberg,28
7,Mädchen,False,2021,Udo Lindenberg,28
8,Junge,True,2021,Udo Lindenberg,28
9,Lady,False,2021,Udo Lindenberg,27
10,Lady,False,2021,Udo Lindenberg,27
11,Lady,False,2021,Udo Lindenberg,26
12,Mädchen,False,2021,Udo Lindenberg,26
13,Weib,False,2021,Udo Lindenberg,25
14,Weib,False,2021,Udo Lindenberg,25
15,Junge,True,2021,Udo Lindenberg,24
16,Junge,True,2021,Udo Lindenberg,24
17,Mann,True,2021,Udo Lindenberg,24
18,Mädchen,False,2021,Udo Lindenberg,24
19,Mann,True,2021,Udo Lindenberg,24
20,Junge,True,2021,Udo Lindenberg,23
21,Herr,True,2021,Udo Lindenberg,23
22,Mann,True,2021,Udo Lindenberg,0
23,Mann,True,2021,Udo Lindenberg,0
24,Junge,True,2021,Udo Lindenberg,0
25,Junge,True,2021,Udo Lindenberg,0
26,Mann,True,2021,Udo Lindenberg,22
27,Mann,True,2021,Udo Lindenberg,20
28,Mann,True,2021,Udo Lindenberg,58
29,Mann,True,2021,Udo Lindenberg,58
30,Mann,True,2021,Udo Lindenberg,58
31,Mann,True,2021,Udo Lindenberg,58
32,Mann,True,1986,Udo Lindenberg,7
33,Mister,True,1986,Udo Lindenberg,7
34,Mann,True,1986,Udo Lindenberg,7
35,Mann,True,1986,Udo Lindenberg,7
36,Junge,True,2023,Apache 207,66
37,Mann,True,2019,Apache 207,60
38,Mann,True,2019,Apache 207,60
39,Mann,True,2019,Apache 207,60
40,Junge,True,2019,Apache 207,71
41,Mann,True,2019,Apache 207,67
42,Mann,True,2019,Apache 207,67
43,Mann,True,2022,AYLIVA,65
44,Mann,True,2022,AYLIVA,65
45,Girl,False,2023,Peter Fox,68
46,Girl,False,2023,Peter Fox,68
47,Girl,False,2023,Peter Fox,68
48,Junge,True,2023,Peter Fox,66
49,Mann,True,2008,Peter Fox,72
50,Lady,False,2008,Peter Fox,63
51,Junge,True,2008,Peter Fox,62
52,Mann,True,2022,Bonez MC,46
53,Mann,True,2022,Bonez MC,66
54,Mann,True,2022,Bonez MC,66
55,Mann,True,2022,Bonez MC,66
56,Mann,True,2022,Bonez MC,66
57,Mann,True,2022,Bonez MC,66
58,Mann,True,2022,Bonez MC,66
59,Mann,True,2022,Bonez MC,67
60,Mann,True,2022,Bonez MC,67
61,Mann,True,2022,Bonez MC,67
62,Mann,True,2022,Bonez MC,58
63,Mann,True,2022,Bonez MC,55
64,Mann,True,2022,Bonez MC,55
65,Mann,True,2022,Bonez MC,52
66,Mann,True,2022,RAF Camora,33
67,Mann,True,2022,RAF Camora,32
68,Mann,True,2022,RAF Camora,56
69,Mann,True,2022,RAF Camora,39
70,Mann,True,2022,RAF Camora,39
71,Mann,True,2022,RAF Camora,39
72,Junge,True,2022,RAF Camora,35
73,Mann,True,2022,RAF Camora,35
74,Mann,True,2022,RAF Camora,35
75,Mann,True,2022,SDP,55
76,Mann,True,2022,SDP,64
77,Mann,True,2022,SDP,64
78,Junge,True,2022,SDP,64
79,Mann,True,2022,SDP,51
80,Mädchen,False,2022,SDP,46
81,Mann,True,2022,SDP,60
82,Mann,True,2022,SDP,44
83,Mann,True,2022,SDP,44
84,Mann,True,2022,SDP,44
85,Mann,True,2022,SDP,44
86,Mann,True,2022,SDP,44
87,Mann,True,2022,SDP,45
88,Mann,True,2022,SDP,45
89,Mann,True,2022,SDP,45
90,Mann,True,2022,SDP,45
91,Mann,True,2022,SDP,57
92,Junge,True,2022,SDP,57
93,Mann,True,2019,SDP,28
94,Mann,True,2019,SDP,58
95,Herr,True,2019,SDP,39
96,Herr,True,2019,SDP,39
97,Herr,True,2019,SDP,39
98,Mann,True,2019,SDP,37
99,Mann,True,2019,SDP,27
100,Mann,True,2019,SDP,27
101,Dame,False,2019,SDP,20
102,Dame,False,2019,SDP,20
103,Junge,True,2019,SDP,20
104,Junge,True,2019,SDP,20
105,Mann,True,2019,SDP,20
