,Noun,Year,Artist
0,Sack,2022,Die Toten Hosen
1,Sack,2022,Die Toten Hosen
2,Sack,2022,Die Toten Hosen
3,Sack,2022,Die Toten Hosen
4,Chaot,2022,Die Toten Hosen
5,Chaot,2022,Die Toten Hosen
6,Chaot,2022,Die Toten Hosen
7,Chaot,2022,Die Toten Hosen
8,Schwein,2021,Udo Lindenberg
9,Weib,2021,Udo Lindenberg
10,Weib,2021,Udo Lindenberg
11,Schwein,2021,Udo Lindenberg
12,Idiot,2021,Udo Lindenberg
13,Spießer,2021,Udo Lindenberg
14,Macker,2023,Apache 207
15,Bitch,2023,Apache 207
16,Idiot,2023,Peter Fox
17,Sau,2023,Peter Fox
18,Sack,2008,Peter Fox
19,Macker,2008,Peter Fox
20,Sack,2008,Peter Fox
21,Macker,2008,Peter Fox
22,Hurensohn,2022,Bonez MC
23,Wichser,2022,Bonez MC
24,Wichser,2022,Bonez MC
25,Nutte,2022,Bonez MC
26,Schlampe,2022,Bonez MC
27,Schlampe,2022,Bonez MC
28,Schlampe,2022,Bonez MC
29,Bonze,2022,Bonez MC
30,Bitch,2022,Bonez MC
31,Schwanzlutscher,2022,Bonez MC
32,Bastard,2022,Bonez MC
33,Trottel,2022,Bonez MC
34,Trottel,2022,Bonez MC
35,Schlampe,2022,Bonez MC
36,Trottel,2022,Bonez MC
37,Trottel,2022,Bonez MC
38,Schlampe,2022,LX
39,Bitch,2022,RAF Camora
40,Hurensohn,2022,RAF Camora
41,Hurenkind,2022,RAF Camora
42,Bitch,2022,RAF Camora
43,Schwein,2022,SDP
44,Fotze,2022,SDP
45,Fotze,2022,SDP
46,Schwein,2022,SDP
47,Schwein,2022,SDP
48,Bastard,2022,SDP
49,Bastard,2022,SDP
50,Bastard,2022,SDP
51,Bastard,2022,SDP
52,Trottel,2019,SDP
53,Trottel,2019,SDP
54,Fotze,2019,SDP
55,Wichser,2019,SDP
56,Wichser,2019,SDP
57,Wichser,2019,SDP
58,Wichser,2019,SDP
59,Wichser,2019,SDP
60,Wichser,2019,SDP
61,Ungeheuer,2019,SDP
62,Hurensohn,2022,Nina Chuba
63,Arschloch,2022,LUNA
64,Arschloch,2022,LUNA
65,Arschloch,2022,LUNA
66,Arschloch,2022,LUNA
67,Arschloch,2022,LUNA
68,Arschloch,2022,LUNA
69,Arschloch,2022,LUNA
70,Arschloch,2022,LUNA
71,Arschloch,2022,LUNA
72,Arschloch,2022,LUNA
73,Arschloch,2022,LUNA
74,Affenarsch,2022,Ben Zucker
75,Sack,2022,Ben Zucker
76,Sau,2022,Ben Zucker
77,Schwein,2022,Ben Zucker
78,Bastard,2022,Ben Zucker
79,Wichser,2022,Ben Zucker
80,Wichser,2022,Ben Zucker
81,Schlampe,2022,Ben Zucker
82,Schlampe,2022,Ben Zucker
83,Wichser,2022,Ben Zucker
84,Wichser,2022,Ben Zucker
85,Wichser,2022,Ben Zucker
86,Wichser,2022,Ben Zucker
87,Trottel,2022,Ben Zucker
88,Trottel,2022,Ben Zucker
89,Hurensohn,2022,Ben Zucker
90,Wichser,2022,Ben Zucker
91,Wichser,2022,Ben Zucker
92,Schlampe,2022,Ben Zucker
93,Wichser,2022,Ben Zucker
94,Wichser,2022,Ben Zucker
95,Wichser,2022,Ben Zucker
96,Wichser,2022,Ben Zucker
97,Hurensohn,2022,Ben Zucker
98,Hurensohn,2022,Ben Zucker
99,Wichser,2022,Ben Zucker
100,Wichser,2022,Ben Zucker
101,Hurensohn,2022,badmómzjay
102,Arschloch,2021,MC Bilal
103,Schlampe,2021,MC Bilal
104,Arschloch,2023,Jamule
105,Arschloch,2023,Jamule
106,Arschloch,2023,Alexander Eder
107,Bitch,2023,Nina Chuba
108,Furie,2022,Mudi
109,Idiot,2022,Mudi
110,Tagedieb,2022,Mudi
111,Taugenichts,2022,Mudi
112,Schlampe,2021,Mudi
113,Macker,2023,Jamule
114,Bitch,2023,Jamule
115,Idiot,2023,Jamule
116,Idiot,2023,Jamule
117,Idiot,2023,Jamule
118,Bastard,2022,Jamule
119,Bitch,2022,Jamule
120,Bitch,2022,Jamule
121,Arschloch,2022,Jamule
122,Arschloch,2022,Jamule
123,Bitch,2022,Jamule
124,Bitch,2022,Jamule
125,Bitch,2022,Jamule
126,Bitch,2022,Jamule
127,Bitch,2022,Jamule
128,Bitch,2022,Jamule
129,Bitch,2021,Jamule
130,Schlampe,2021,Jamule
131,Bitch,2021,Jamule
132,Bitch,2021,Jamule
133,Bitch,2021,Jamule
134,Bitch,2021,Jamule
135,Bitch,2021,Jamule
136,Bitch,2021,Jamule
137,Bitch,2021,Jamule
138,Bitch,2021,Jamule
139,Idiot,2020,Jamule
140,Weib,2023,LIKA
141,Bitch,2021,Endzone
142,Trottel,2021,Endzone
143,Trottel,2021,Endzone
144,Bitch,2020,Endzone
145,Sack,2020,Endzone
146,Bitch,2020,Endzone
147,Schlampe,2020,Endzone
148,Chaot,2023,SOPHIA
149,Ungeheuer,2023,AnnenMayKantereit
150,Bastard,2016,AnnenMayKantereit
151,Besserwisser,2016,AnnenMayKantereit
