,Noun,Year,Artist
0,Nachbarschaft,2022,Die Toten Hosen
1,Kind,2022,Die Toten Hosen
2,Kind,2022,Die Toten Hosen
3,Kind,2022,Die Toten Hosen
4,Sonnenschein,2022,Die Toten Hosen
5,Sonnenschein,2022,Die Toten Hosen
6,Menschen,2022,Die Toten Hosen
7,Mensch,2022,Die Toten Hosen
8,Menschen,2022,Die Toten Hosen
9,Natur,2022,Die Toten Hosen
10,Natur,2022,Die Toten Hosen
11,Natur,2022,Die Toten Hosen
12,Natur,2022,Die Toten Hosen
13,Natur,2022,Die Toten Hosen
14,Natur,2022,Die Toten Hosen
15,Natur,2022,Die Toten Hosen
16,Natur,2022,Die Toten Hosen
17,Natur,2022,Die Toten Hosen
18,Natur,2022,Die Toten Hosen
19,Natur,2022,Die Toten Hosen
20,Natur,2022,Die Toten Hosen
21,Mensch,2022,Die Toten Hosen
22,Jugendliche,2022,Die Toten Hosen
23,Besuch,2022,Die Toten Hosen
24,Stimme,2022,Die Toten Hosen
25,Stimme,2022,Die Toten Hosen
26,Stelle,2022,Die Toten Hosen
27,Vater,2022,Die Toten Hosen
28,Querkopf,2022,Die Toten Hosen
29,Kreis,2022,Die Toten Hosen
30,Eltern,2022,Die Toten Hosen
31,Mensch,2022,Die Toten Hosen
32,Mensch,2022,Die Toten Hosen
33,Mensch,2022,Die Toten Hosen
34,Mensch,2022,Die Toten Hosen
35,Zimmer,2022,Die Toten Hosen
36,Eltern,2022,Die Toten Hosen
37,Vater,2021,Udo Lindenberg
38,Mitglied,2021,Udo Lindenberg
39,Umgebung,2021,Udo Lindenberg
40,Pause,2021,Udo Lindenberg
41,Management,2021,Udo Lindenberg
42,Liebling,2021,Udo Lindenberg
43,Verein,2021,Udo Lindenberg
44,Stimme,2021,Udo Lindenberg
45,Stimme,2021,Udo Lindenberg
46,Kinder,2021,Udo Lindenberg
47,Verein,2021,Udo Lindenberg
48,Stelle,2021,Udo Lindenberg
49,Kinder,2021,Udo Lindenberg
50,Kinder,2021,Udo Lindenberg
51,Kinder,2021,Udo Lindenberg
52,Menschen,2021,Udo Lindenberg
53,Kind,2021,Udo Lindenberg
54,Kind,2021,Udo Lindenberg
55,Kind,2021,Udo Lindenberg
56,Kind,2021,Udo Lindenberg
57,Kind,2021,Udo Lindenberg
58,Kind,2021,Udo Lindenberg
59,Bekanntschaft,2021,Udo Lindenberg
60,Bekanntschaft,2021,Udo Lindenberg
61,Bekanntschaft,2021,Udo Lindenberg
62,Bekanntschaft,2021,Udo Lindenberg
63,Bekanntschaft,2021,Udo Lindenberg
64,Bekanntschaft,2021,Udo Lindenberg
65,Bekanntschaft,2021,Udo Lindenberg
66,Bekanntschaft,2021,Udo Lindenberg
67,Bekanntschaft,2021,Udo Lindenberg
68,Bekanntschaft,2021,Udo Lindenberg
69,Irrtum,2021,Udo Lindenberg
70,Konzert,2021,Udo Lindenberg
